,online,reservations,rating,votes,location,rest_type,cost_for_two,type
138,Yes,No,3.8,505,Banashankari,Quick Bites,450,Delivery
8491,Yes,No,3.1,11,BTM,Casual Dining,500,Dine-out
26132,Yes,Yes,4.2,408,Brigade Road,Other,1600,Delivery
16766,Yes,No,3.5,12,HBR Layout,Quick Bites,400,Dine-out
11181,No,No,3.2,4,Frazer Town,Quick Bites,150,Delivery
340,Yes,No,3.6,59,Kumaraswamy Layout,Casual Dining,700,Delivery
4857,Yes,Yes,3.9,96,Brigade Road,"Casual Dining, Bar",1300,Dine-out
30957,Yes,No,3.6,10,Whitefield,Other,300,Delivery
17823,Yes,No,3.9,522,Koramangala 4th Block,Casual Dining,500,Delivery
9569,Yes,No,4.1,118,Richmond Road,Casual Dining,1000,Delivery
13865,No,Yes,4.4,2993,Indiranagar,Other,1400,Pubs and bars
17330,No,No,3.4,6,Kalyan Nagar,Quick Bites,300,Dine-out
10582,Yes,No,3.2,7,Electronic City,Cafe,300,Dine-out
5498,No,No,3.8,286,Koramangala 8th Block,Other,500,Pubs and bars
21300,No,No,3.73178,0,Koramangala 4th Block,Quick Bites,250,Dine-out
8556,Yes,No,3.9,201,BTM,Quick Bites,300,Dine-out
10913,No,Yes,4.3,169,Electronic City,Other,1400,Pubs and bars
1932,No,No,3.3,11,Bannerghatta Road,Quick Bites,150,Dine-out
2352,Yes,No,3.9,214,BTM,Casual Dining,400,Delivery
15848,Yes,No,4.1,399,Kalyan Nagar,Other,700,Cafes
3236,Yes,No,3.0,8,Sarjapur Road,Quick Bites,400,Delivery
12355,Yes,No,3.8,26,Koramangala 1st Block,Quick Bites,400,Dine-out
9493,No,No,3.73178,0,Lavelle Road,Dessert Parlor,500,Delivery
29194,Yes,Yes,4.3,1055,Lavelle Road,Casual Dining,1600,Buffet
3807,Yes,No,3.7,132,Marathahalli,Casual Dining,750,Dine-out
30810,Yes,No,3.73178,0,Sarjapur Road,Other,700,Pubs and bars
1936,No,No,3.6,19,Bannerghatta Road,Quick Bites,250,Dine-out
5619,No,No,3.9,90,Whitefield,Cafe,700,Cafes
14973,Yes,No,3.7,15,BTM,Quick Bites,400,Dine-out
20538,Yes,No,4.0,212,Koramangala 4th Block,Quick Bites,400,Dine-out
25372,Yes,No,3.9,34,Marathahalli,Other,300,Desserts
18800,Yes,No,3.6,45,BTM,Casual Dining,500,Dine-out
28083,No,No,3.6,14,Old Airport Road,Quick Bites,300,Dine-out
6139,Yes,No,3.4,372,Brookefield,Casual Dining,750,Delivery
785,No,No,3.1,30,Banashankari,Other,1000,Drinks & nightlife
23173,No,Yes,3.9,36,Brigade Road,Casual Dining,1500,Dine-out
8036,No,No,3.73178,0,Koramangala 2nd Block,Quick Bites,150,Delivery
8315,Yes,No,4.2,220,JP Nagar,Dessert Parlor,400,Desserts
31223,Yes,No,3.7,30,Whitefield,Casual Dining,500,Delivery
22052,Yes,No,3.6,42,BTM,Casual Dining,350,Dine-out
